Full,First,Last,Username,Group,Photo
Alexis Cronk,Alexis,Cronk,ACronk,Sr. Women,https://rowingcanada.org/uploads/2022/09/Rowing-Canada-Sep-1-2022-%C2%A9KevinLightPhoto-_RL_9316-copy-1-600x800.jpg
Alizee Brien,Alizee,Brien,Aliiibri,Sr. Women,https://rowingcanada.org/uploads/2025/07/Untitled-design-4-600x800.jpg
Brenna Randall,Brenna,Randall,BrRandall,Sr. Women (remote),https://rowingcanada.org/uploads/2019/06/Brenna-Randall-Rowing-Canada1386_8x8-600x800.jpg
Elisa Bolinger,Elisa,Bolinger,Ebolinger,Sr. Women,https://rowingcanada.org/uploads/2022/07/Elisa-Bolinger-Rowing-Canada-June-18-2022-%C2%A9KevinLightPhoto-_RL_3085_1-600x800.jpg
Shaye de Paiva,Shaye,de Paiva,SdePaiva,Sr. Women (remote),https://rowingcanada.org/uploads/2022/06/de_Paiva_Shaye_bw-Rowing-Canada-June-18-2022-%C2%A9KevinLightPhoto-_RL_3139-square-600x800.jpg
Axel Ewashko,Axel,Ewashko,AEwashko,Sr. Men,https://rowingcanada.org/uploads/2018/11/Athlete-Placeholder-1-1920x1869.jpg
Trevor Jones,Trevor,Jones,TJones,Sr. Men,https://rowingcanada.org/uploads/2018/11/32.-Trevor_Jones_Rowing-Canada1095_8x8-1920x1869.jpg
Victor Lefebvre,Victor,Lefebvre,VLefebvre,Sr. Men,https://rowingcanada.org/uploads/2018/11/Athlete-Placeholder-1-1920x1869.jpg
Sam Stewart,Sam,Stewart,SStewart,Sr. Men,https://rowingcanada.org/uploads/2018/11/Athlete-Placeholder-1-1920x1869.jpg
Martine Nyhof,Martine,Nyhof,MNyhof,Sr. Women,https://rowingcanada.org/uploads/2018/11/Athlete-Placeholder-1-1920x1869.jpg
Sally Jones,Sally,Jones,SJones,Sr. Women,https://rowingcanada.org/uploads/2018/11/Athlete-Placeholder-1-1920x1869.jpg
